date,close
1992-11-22,1455.0
1992-11-23,1458.4000244140625
1992-11-24,1467.9000244140625
1992-11-25,1459.0
1992-11-26,1458.9000244140625
1992-11-29,1456.4000244140625
1992-11-30,1452.300048828125
1992-12-01,1446.800048828125
1992-12-02,1442.0999755859375
1992-12-03,1443.199951171875
1992-12-06,1454.300048828125
1992-12-07,1480.300048828125
1992-12-08,1494.9000244140625
1992-12-09,1515.0999755859375
1992-12-10,1513.300048828125
1992-12-13,1525.9000244140625
1992-12-14,1522.300048828125
1992-12-15,1508.5
1992-12-16,1512.0
1992-12-17,1529.4000244140625
1992-12-20,1551.699951171875
1992-12-21,1543.5
1992-12-22,1536.4000244140625
1992-12-23,1547.5999755859375
1992-12-28,1553.5
1992-12-29,1552.300048828125
1992-12-30,1564.699951171875
1993-01-03,1576.0999755859375
1993-01-04,1579.9000244140625
1993-01-05,1554.800048828125
1993-01-06,1542.0999755859375
1993-01-07,1510.4000244140625
1993-01-10,1523.5999755859375
1993-01-11,1517.9000244140625
1993-01-12,1502.199951171875
1993-01-13,1515.4000244140625
1993-01-14,1534.0999755859375
1993-01-17,1538.300048828125
1993-01-18,1527.5999755859375
1993-01-19,1530.9000244140625
1993-01-20,1528.4000244140625
1993-01-21,1533.0
1993-01-24,1532.800048828125
1993-01-25,1539.0999755859375
1993-01-26,1544.4000244140625
1993-01-27,1536.0999755859375
1993-01-28,1536.5
1993-01-31,1538.300048828125
1993-02-01,1538.300048828125
1993-02-02,1538.5
1993-02-03,1540.0
1993-02-04,1552.5
1993-02-07,1568.5
1993-02-08,1595.0999755859375
1993-02-09,1602.0
1993-02-10,1610.0999755859375
1993-02-11,1614.300048828125
1993-02-14,1607.199951171875
1993-02-15,1623.9000244140625
1993-02-16,1612.800048828125
1993-02-17,1618.4000244140625
1993-02-18,1604.300048828125
1993-02-21,1615.699951171875
1993-02-22,1619.5
1993-02-23,1615.199951171875
1993-02-24,1617.0
1993-02-25,1620.199951171875
1993-02-28,1652.800048828125
1993-03-01,1658.0
1993-03-02,1637.300048828125
1993-03-03,1633.9000244140625
1993-03-04,1623.5999755859375
1993-03-08,1626.5
1993-03-09,1644.0999755859375
1993-03-10,1658.5999755859375
1993-03-11,1672.800048828125
1993-03-12,1671.9000244140625
1993-03-15,1635.300048828125
1993-03-16,1669.199951171875
1993-03-17,1687.0999755859375
1993-03-18,1681.5999755859375
1993-03-19,1689.699951171875
1993-03-22,1674.9000244140625
1993-03-23,1670.0
1993-03-24,1673.699951171875
1993-03-25,1670.699951171875
1993-03-26,1685.5999755859375
1993-03-29,1686.300048828125
1993-03-30,1687.199951171875
1993-03-31,1674.5
1993-04-01,1676.4000244140625
1993-04-02,1692.300048828125
1993-04-05,1678.699951171875
1993-04-06,1665.9000244140625
1993-04-07,1662.0
1993-04-08,1674.300048828125
1993-04-13,1699.199951171875
1993-04-14,1714.699951171875
1993-04-15,1713.4000244140625
1993-04-16,1713.4000244140625
1993-04-19,1705.5
1993-04-20,1712.699951171875
1993-04-21,1702.4000244140625
1993-04-22,1714.4000244140625
1993-04-23,1710.9000244140625
1993-04-26,1716.0
1993-04-27,1709.0999755859375
1993-04-28,1709.199951171875
1993-04-29,1684.0
1993-04-30,1685.199951171875
1993-05-03,1668.699951171875
1993-05-04,1668.0999755859375
1993-05-05,1678.5
1993-05-06,1696.0
1993-05-07,1688.5
1993-05-10,1673.9000244140625
1993-05-11,1689.5
1993-05-12,1698.300048828125
1993-05-13,1696.199951171875
1993-05-14,1698.9000244140625
1993-05-17,1686.199951171875
1993-05-18,1676.4000244140625
1993-05-19,1680.199951171875
1993-05-20,1682.0999755859375
1993-05-21,1695.0999755859375
1993-05-24,1683.699951171875
1993-05-25,1698.199951171875
1993-05-26,1719.5
1993-05-27,1753.4000244140625
1993-05-28,1762.5
1993-05-31,1737.4000244140625
1993-06-01,1732.800048828125
1993-06-02,1742.5999755859375
1993-06-03,1741.199951171875
1993-06-04,1739.800048828125
1993-06-07,1736.9000244140625
1993-06-08,1721.9000244140625
1993-06-09,1708.699951171875
1993-06-10,1713.5999755859375
1993-06-11,1715.0999755859375
1993-06-15,1726.5
1993-06-16,1726.0
1993-06-17,1728.0
1993-06-18,1730.5
1993-06-21,1726.800048828125
1993-06-22,1715.9000244140625
1993-06-23,1697.699951171875
1993-06-24,1698.4000244140625
1993-06-25,1699.0999755859375
1993-06-28,1714.5999755859375
1993-06-29,1716.800048828125
1993-06-30,1734.5999755859375
1993-07-01,1752.300048828125
1993-07-02,1764.0
1993-07-05,1759.5999755859375
1993-07-06,1757.300048828125
1993-07-07,1765.699951171875
1993-07-08,1775.800048828125
1993-07-09,1776.9000244140625
1993-07-12,1797.5
1993-07-13,1799.9000244140625
1993-07-14,1801.300048828125
1993-07-15,1802.699951171875
1993-07-16,1796.800048828125
1993-07-19,1794.300048828125
1993-07-20,1803.800048828125
1993-07-21,1815.4000244140625
1993-07-22,1799.5
1993-07-23,1804.4000244140625
1993-07-26,1792.5
1993-07-27,1810.300048828125
1993-07-28,1814.300048828125
