date,close
2020-08-27,7.540900230407715
2020-08-28,7.614999771118164
2020-08-31,7.574999809265137
2020-09-01,7.704999923706055
2020-09-02,7.934999942779541
2020-09-03,7.75
2020-09-04,7.659999847412109
2020-09-07,7.269999980926514
2020-09-08,7.139999866485596
2020-09-09,7.039999961853027
2020-09-10,7.039999961853027
2020-09-11,7.150000095367432
2020-09-14,7.239999771118164
2020-09-15,7.355000019073486
2020-09-16,7.420000076293945
2020-09-17,7.329999923706055
2020-09-18,7.355000019073486
2020-09-21,7.204999923706055
2020-09-22,7.215000152587891
2020-09-23,7.284999847412109
2020-09-24,7.079999923706055
2020-09-25,6.940000057220459
2020-09-28,6.985000133514404
2020-09-29,6.989999771118164
2020-09-30,7.059999942779541
2020-10-05,7.09499979019165
2020-10-06,7.309999942779541
2020-10-07,7.460000038146973
2020-10-08,7.5
2020-10-09,7.519999980926514
2020-10-12,7.71999979019165
2020-10-14,7.784999847412109
2020-10-15,7.525000095367432
2020-10-16,7.610000133514404
2020-10-19,7.590000152587891
2020-10-20,7.619999885559082
2020-10-21,7.619999885559082
2020-10-22,7.599999904632568
2020-10-23,7.489999771118164
2020-10-27,7.480000019073486
2020-10-28,7.625
2020-10-29,7.659999847412109
2020-10-30,7.514999866485596
2020-11-02,7.559999942779541
2020-11-03,7.690000057220459
2020-11-04,7.75
2020-11-05,8.130000114440918
2020-11-06,8.119999885559082
2020-11-09,8.390000343322754
2020-11-10,8.0
2020-11-11,7.494999885559082
2020-11-12,7.775000095367432
2020-11-13,7.914999961853027
2020-11-16,8.055000305175781
2020-11-17,7.880000114440918
2020-11-18,7.940000057220459
2020-11-19,7.885000228881836
2020-11-20,7.949999809265137
2020-11-23,8.0600004196167
2020-11-24,8.09000015258789
2020-11-25,7.900000095367432
2020-11-26,8.020000457763672
2020-11-27,8.079999923706055
2020-11-30,8.0
2020-12-01,7.949999809265137
2020-12-02,7.824999809265137
2020-12-03,7.914999961853027
2020-12-04,7.934999942779541
2020-12-07,7.929999828338623
2020-12-08,8.0600004196167
2020-12-09,8.079999923706055
2020-12-10,7.989999771118164
2020-12-11,8.050000190734863
2020-12-14,8.079999923706055
2020-12-15,8.050000190734863
2020-12-16,8.104999542236328
